source_page_id,source_record_id,government_id,office,person,appointment_start,appointment_end,raw_party_field,previous_assignment,appointment_party,resolution_status,evidence_source,evidence_date,evidence_note,confidence,notes
jair_bolsonaro,jair_bolsonaro:0:29,bolsonaro,Advocacia-Geral da União,André Mendonça,2019-01-01,2020-04-27,—,UNAFFILIATED (no_party_code),,UNAFFILIATED,https://www.diariodepernambuco.com.br/noticia/politica/2018/11/proximos-cinco-dias-sao-decisivos-para-jair-bolsonaro-definir-ministro.html,2018-11-26,Dated incoming-cabinet roster explicitly identifies the announced office-holder as unaffiliated.,medium,
jair_bolsonaro,jair_bolsonaro:0:1,bolsonaro,Casa Civil,Onyx Lorenzoni,2019-01-01,2020-02-14,DEM,DEM,DEM,PARTY,https://www.diariodepernambuco.com.br/noticia/politica/2018/11/proximos-cinco-dias-sao-decisivos-para-jair-bolsonaro-definir-ministro.html,2018-11-26,Dated incoming-cabinet roster explicitly identifies DEM.,medium,
jair_bolsonaro,jair_bolsonaro:0:24,bolsonaro,Controladoria-Geral da União,Wagner Rosário,2017-05-31,2023-01-01,—,UNAFFILIATED (no_party_code),,UNRESOLVED,,,Appointment-date affiliation not yet established by dated evidence.,unresolved,
jair_bolsonaro,jair_bolsonaro:0:17,bolsonaro,Gabinete de Segurança Institucional,Augusto Heleno,2019-01-01,2023-01-01,Patriota,Patriota,,UNAFFILIATED,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/07/18/general-diz-que-vai-se-desfiliar-de-partido.htm | https://www.diariodepernambuco.com.br/noticia/politica/2018/11/proximos-cinco-dias-sao-decisivos-para-jair-bolsonaro-definir-ministro.html,2018-07-18 | 2018-11-26,Heleno announced PRP withdrawal in July; November incoming-cabinet roster explicitly identifies him as unaffiliated.,high,Raw Patriota is contradicted by dated departure and incoming-cabinet evidence; organizational PRP/Patriota lineage cannot restore a departed personal membership.
jair_bolsonaro,jair_bolsonaro:0:15,bolsonaro,"Ministério da Agricultura, Pecuária e Abastecimento",Tereza Cristina,2019-01-01,2022-03-30,DEM / UNIÃO / PP,DEM,DEM,PARTY,https://www.diariodepernambuco.com.br/noticia/politica/2018/11/proximos-cinco-dias-sao-decisivos-para-jair-bolsonaro-definir-ministro.html,2018-11-26,Dated incoming-cabinet roster explicitly identifies DEM.,medium,
jair_bolsonaro,jair_bolsonaro:0:54,bolsonaro,Ministério da Cidadania,Osmar Terra,2019-01-01,2020-02-14,MDB,MDB,,UNRESOLVED,,,Appointment-date affiliation not yet established by dated evidence.,unresolved,
jair_bolsonaro,jair_bolsonaro:0:8,bolsonaro,"Ministério da Ciência, Tecnologia e Inovações",Marcos Pontes,2019-01-01,2022-03-31,PL,PL,PSL,PARTY,https://noticias.uol.com.br/ultimas-noticias/agencia-estado/2018/10/31/bolsonaro-confirma-marcos-pontes-para-o-ministerio-da-ciencia-e-tecnologia.htm,2018-10-31,Appointment announcement identifies Pontes as PSL; the November 26 incoming-cabinet roster independently agrees.,high,Later PL membership must not be back-projected; this PSL origin survives the 2020 tourism replacement and the 2022 merger.
jair_bolsonaro,jair_bolsonaro:0:18,bolsonaro,Ministério da Defesa,Fernando Azevedo e Silva,2019-01-01,2021-03-29,—,UNAFFILIATED (no_party_code),,UNAFFILIATED,https://www.diariodepernambuco.com.br/noticia/politica/2018/11/proximos-cinco-dias-sao-decisivos-para-jair-bolsonaro-definir-ministro.html,2018-11-26,Dated incoming-cabinet roster explicitly identifies the announced office-holder as unaffiliated.,medium,
jair_bolsonaro,jair_bolsonaro:0:5,bolsonaro,Ministério da Economia,Paulo Guedes,2019-01-01,2023-01-01,—,UNAFFILIATED (no_party_code),,UNAFFILIATED,https://www.diariodepernambuco.com.br/noticia/politica/2018/11/proximos-cinco-dias-sao-decisivos-para-jair-bolsonaro-definir-ministro.html,2018-11-26,Dated incoming-cabinet roster explicitly identifies the announced office-holder as unaffiliated.,medium,
jair_bolsonaro,jair_bolsonaro:0:39,bolsonaro,Ministério da Educação,Ricardo Vélez Rodríguez,2019-01-01,2019-04-08,—,UNAFFILIATED (no_party_code),,UNAFFILIATED,https://www.diariodepernambuco.com.br/noticia/politica/2018/11/proximos-cinco-dias-sao-decisivos-para-jair-bolsonaro-definir-ministro.html,2018-11-26,Dated incoming-cabinet roster explicitly identifies the announced office-holder as unaffiliated.,medium,
