source_page_id,source_record_id,government_id,office,person,appointment_start,appointment_end,raw_party_field,previous_assignment,appointment_party,resolution_status,evidence_source,evidence_date,evidence_note,confidence,notes
dilma_rousseff,dilma_rousseff:1:1,dilma_2,Advocacia-Geral da União,Luís Inácio Adams,2015-01-01,2016-03-03,—,,,UNAFFILIATED,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:12,dilma_2,Casa Civil,Aloizio Mercadante,2015-01-01,2015-10-02,PT,PT,PT,PARTY,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:25,dilma_2,Controladoria-Geral da União,Valdir Moysés Simão,2015-01-01,2015-12-21,—,,,UNAFFILIATED,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:47,dilma_2,Gabinete de Segurança Institucional,José Elito Carvalho Siqueira,2015-01-01,2015-10-02,—,,,UNAFFILIATED,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:3,dilma_2,"Ministério da Agricultura, Pecuária e Abastecimento",Kátia Abreu,2015-01-01,2016-05-12,MDB,MDB,PMDB,PARTY,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:16,dilma_2,"Ministério da Ciência, Tecnologia e Inovação",Aldo Rebelo,2015-01-01,2015-10-02,PCdoB,PCdoB,PCdoB,PARTY,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:28,dilma_2,Ministério da Cultura,Juca Ferreira,2015-01-01,2016-05-12,PT,PT,PT,PARTY,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:29,dilma_2,Ministério da Defesa,Jaques Wagner,2015-01-01,2015-10-02,PT,PT,PT,PARTY,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:39,dilma_2,Ministério da Educação,Cid Gomes,2015-01-01,2015-03-18,PDT,PDT,PROS,PARTY,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:45,dilma_2,Ministério da Fazenda,Joaquim Levy,2015-01-01,2015-12-18,—,,,UNAFFILIATED,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:49,dilma_2,Ministério da Integração Nacional,Gilberto Occhi,2015-01-01,2016-04-13,PP,PP,PP,PARTY,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:51,dilma_2,Ministério da Justiça,José Eduardo Cardozo,2015-01-01,2016-03-03,PT,PT,PT,PARTY,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:58,dilma_2,Ministério da Pesca e Aquicultura,Helder Barbalho,2015-01-01,2015-10-02,MDB,MDB,PMDB,PARTY,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:65,dilma_2,Ministério da Previdência Social,Carlos Eduardo Gabas,2015-01-01,2015-10-02,PT,PT,PT,PARTY,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:68,dilma_2,Ministério da Saúde,Arthur Chioro,2015-01-01,2015-10-01,PT,PT,PT,PARTY,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:19,dilma_2,Ministério das Cidades,Gilberto Kassab,2015-01-01,2016-04-15,PSD,PSD,PSD,PARTY,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:23,dilma_2,Ministério das Comunicações,Ricardo Berzoini,2015-01-01,2015-10-02,PT,PT,PT,PARTY,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:66,dilma_2,Ministério das Relações Exteriores,Mauro Vieira,2015-01-01,2016-05-12,—,,,UNAFFILIATED,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:56,dilma_2,Ministério de Minas e Energia,Eduardo Braga,2015-01-01,2016-04-20,MDB,MDB,PMDB,PARTY,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:31,dilma_2,Ministério do Desenvolvimento Agrário,Patrus Ananias,2015-01-01,2016-04-14,PT,PT,PT,PARTY,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:35,dilma_2,Ministério do Desenvolvimento Social e Combate à Fome,Tereza Campello,2015-01-01,2016-05-12,PT,PT,PT,PARTY,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:34,dilma_2,"Ministério do Desenvolvimento, Indústria e Comércio Exterior",Armando Monteiro,2015-01-01,2016-05-12,PTB,PTB,PTB,PARTY,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:43,dilma_2,Ministério do Esporte,George Hilton,2015-01-01,2016-03-23,REPU,Republicanos,PRB,PARTY,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:54,dilma_2,Ministério do Meio Ambiente,Izabella Teixeira,2015-01-01,2016-05-12,—,,,UNAFFILIATED,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:59,dilma_2,"Ministério do Planejamento, Orçamento e Gestão",Nelson Barbosa,2015-01-01,2015-12-18,—,,,UNAFFILIATED,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:72,dilma_2,Ministério do Trabalho e Emprego,Manoel Dias,2015-01-01,2015-10-02,PDT,PDT,PDT,PARTY,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:75,dilma_2,Ministério do Turismo,Vinicius Lages,2015-01-01,2015-04-16,—,,PMDB,PARTY,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:74,dilma_2,Ministério dos Transportes,Antonio Carlos Rodrigues,2015-01-01,2016-05-12,PL,PL,PR,PARTY,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:11,dilma_2,Presidente do Banco Central do Brasil,Alexandre Tombini,2015-01-01,2016-05-11,—,,,UNAFFILIATED,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:62,dilma_2,Secretaria Nacional dos Portos,Edson Coelho Araújo,2015-01-01,2015-10-02,MDB,MDB,PMDB,PARTY,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:55,dilma_2,Secretaria da Micro e Pequena Empresa,Guilherme Afif Domingos,2015-01-01,2015-10-02,PSD,PSD,PSD,PARTY,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:4,dilma_2,Secretaria de Assuntos Estratégicos,Marcelo Neri,2015-01-01,2015-02-05,—,,,UNAFFILIATED,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:7,dilma_2,Secretaria de Aviação Civil,Eliseu Padilha,2015-01-01,2015-12-04,MDB,MDB,PMDB,PARTY,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:21,dilma_2,Secretaria de Comunicação Social,Thomas Traumann,2015-01-01,2015-03-25,PSD,PSD,,UNAFFILIATED,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:36,dilma_2,Secretaria de Direitos Humanos,Ideli Salvatti,2015-01-01,2015-04-16,PT,PT,PT,PARTY,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:48,dilma_2,Secretaria de Políticas de Promoção da Igualdade Racial,Nilma Lino Gomes,2015-01-01,2015-10-02,—,,,UNAFFILIATED,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:61,dilma_2,Secretaria de Políticas para as Mulheres,Eleonora Menicucci,2015-01-01,2015-10-02,PT,PT,PT,PARTY,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:67,dilma_2,Secretaria de Relações Institucionais,Pepe Vargas,2015-01-01,2015-04-07,PT,PT,PT,PARTY,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:70,dilma_2,Secretaria-Geral da Presidência,Miguel Rossetto,2015-01-01,2015-10-02,PT,PT,PT,PARTY,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,high,
dilma_rousseff,dilma_rousseff:1:5,dilma_2,Secretaria de Assuntos Estratégicos,Roberto Mangabeira Unger,2015-02-05,2015-09-14,—,,PMDB,PARTY,https://www.gazetadopovo.com.br/vida-publica/dilma-faz-a-primeira-troca-ministerial-do-segundo-mandato-ejjoezl52abzjdoyyx324m2q6/,2015-02-03,Appointment announcement explicitly identifies PMDB affiliation; November 2015 PDT entry is later.,high,
dilma_rousseff,dilma_rousseff:1:40,dilma_2,Ministério da Educação,Luiz Cláudio Costa,2015-03-18,2015-04-06,—,,,UNRESOLVED,,,,low,
dilma_rousseff,dilma_rousseff:1:22,dilma_2,Secretaria de Comunicação Social,Edinho Silva,2015-03-31,2016-05-12,PT,PT,PT,PARTY,https://epoca.globo.com/tempo/filtro/noticia/2015/03/edinho-silva-substitui-thomas-traumann-na-comunicacao-social.html,2015-03-27,PT identified in appointment announcement for March 31.,high,
dilma_rousseff,dilma_rousseff:1:41,dilma_2,Ministério da Educação,Renato Janine Ribeiro,2015-04-06,2015-09-30,—,,,UNAFFILIATED,https://brasil.elpais.com/brasil/2015/06/15/politica/1434388809_231783.html,2015-06-15,In contemporaneous interview minister says he has never belonged to any party; applies backward to April appointment.,high,
