source_page_id,source_record_id,original_source_record_id,government_id,office,person,appointment_start,appointment_end,raw_party_field,previous_assignment,appointment_party,resolution_status,evidence_source,evidence_date,evidence_note,confidence,notes
lula_2023_presente,lula_2023_presente:2:49,lula_2023_presente:2:49,lula_3,Advocacia-Geral da União,Jorge Messias,2023-01-01,,PT / PE,PT,,UNAFFILIATED,https://news.files.bbci.co.uk/include/vjamericas/1144-brasil-lula-ministries/portuguese/app,2022-12-23,Dated incoming-cabinet profile explicitly identifies no party.,high,
lula_2023_presente,lula_2023_presente:2:2,lula_2023_presente:2:2,lula_3,Agricultura e Pecuária,Carlos Fávaro,2023-01-01,,PSD / MT,PSD,PSD,PARTY,https://valor.globo.com/politica/noticia/2023/01/01/lula-d-posse-a-ministros-veja-a-lista.ghtml,2023-01-01,Inauguration-day roster explicitly identifies PSD.,high,
lula_2023_presente,lula_2023_presente:2:51,lula_2023_presente:2:51,lula_3,Casa Civil,Rui Costa,2023-01-01,,PT / BA,PT,PT,PARTY,https://valor.globo.com/politica/noticia/2023/01/01/lula-d-posse-a-ministros-veja-a-lista.ghtml,2023-01-01,Inauguration-day roster explicitly identifies PT.,high,
lula_2023_presente,lula_2023_presente:2:3,lula_2023_presente:2:3,lula_3,Cidades,Jader Barbalho Filho,2023-01-01,,MDB / PA,MDB,MDB,PARTY,https://valor.globo.com/politica/noticia/2023/01/01/lula-d-posse-a-ministros-veja-a-lista.ghtml,2023-01-01,Inauguration-day roster explicitly identifies MDB.,high,
lula_2023_presente,lula_2023_presente:2:4,lula_2023_presente:2:4,lula_3,"Ciência, Tecnologia e Inovação",Luciana Santos,2023-01-01,,PCdoB / PE,PCdoB,PCdoB,PARTY,https://valor.globo.com/politica/noticia/2023/01/01/lula-d-posse-a-ministros-veja-a-lista.ghtml,2023-01-01,Inauguration-day roster explicitly identifies PCdoB.,high,
lula_2023_presente,lula_2023_presente:2:5,lula_2023_presente:2:5,lula_3,Comunicações,Juscelino Filho,2023-01-01,2025-04-09,UNIÃO / MA,UNIÃO,UNIÃO,PARTY,https://valor.globo.com/politica/noticia/2023/01/01/lula-d-posse-a-ministros-veja-a-lista.ghtml,2023-01-01,Inauguration-day roster explicitly identifies UNIÃO.,high,
lula_2023_presente,lula_2023_presente:2:50,lula_2023_presente:2:50,lula_3,Controladoria-Geral da União,Vinícius Marques de Carvalho,2023-01-01,,Sem partido/ SP,,,UNAFFILIATED,https://news.files.bbci.co.uk/include/vjamericas/1144-brasil-lula-ministries/portuguese/app,2022-12-23,Dated incoming-cabinet profile explicitly identifies no party.,high,
lula_2023_presente,lula_2023_presente:2:8,lula_2023_presente:2:8,lula_3,Cultura,Margareth Menezes,2023-01-01,,Sem partido/ BA,,,UNAFFILIATED,https://news.files.bbci.co.uk/include/vjamericas/1144-brasil-lula-ministries/portuguese/app,2022-12-23,Dated incoming-cabinet profile explicitly identifies no party.,high,
lula_2023_presente,lula_2023_presente:2:9,lula_2023_presente:2:9,lula_3,Defesa,José Múcio,2023-01-01,,Sem partido/ PE,,,UNAFFILIATED,https://veja.abril.com.br/coluna/radar/lula-ja-anunciou-mais-ministros-sem-partido-que-do-pt/ | https://www.diariodepernambuco.com.br/noticia/politica/2022/12/governo-lula-tera-representacao-de-nove-legendas-e-11-ministros-sem-pa.html,2022-12-23,Veja explicitly distinguishes his former PTB affiliation before TCU service from no party at appointment; independent 29 December roster also lists no party.,medium,"Conflicting shorthand PTB labels in Valor/BBC/Poder360 were checked: retained explicit temporal account (former PTB before TCU, now no party), not an unqualified legacy label."
lula_2023_presente,lula_2023_presente:2:10,lula_2023_presente:2:10,lula_3,Desenvolvimento Agrário e Agricultura Familiar,Paulo Teixeira,2023-01-01,,PT / SP,PT,PT,PARTY,https://valor.globo.com/politica/noticia/2023/01/01/lula-d-posse-a-ministros-veja-a-lista.ghtml,2023-01-01,Inauguration-day roster explicitly identifies PT.,high,
