Governante;Data de entrada;Data de saída;Classificação;Ministérios;Partido da Pasta;Ministro;Data de entrada;Data de saída;Partido do Ministro
Sarney;15/03/1985;15/03/1990;Órgão da PR;Casa Civil;sfp;José Hugo Castelo Branco;15/03/1985;14/02/1986;sfp
Sarney;15/03/1985;15/03/1990;Órgão da PR;Casa Civil;PFL;Marco Maciel;15/02/1986;30/04/1987;PFL
Sarney;15/03/1985;15/03/1990;Órgão da PR;Casa Civil;sfp;Ronaldo Costa Couto;30/04/1987;15/12/1989;sfp
Sarney;15/03/1985;15/03/1990;Órgão da PR;Casa Civil;PMDB;Luís Roberto Ponte;21/12/1989;14/03/1990;PMDB
Sarney;15/03/1985;15/03/1990;Ministério;Justiça;PMDB;Fernando Soares Lyra;15/03/1985;14/02/1986;PMDB
Sarney;15/03/1985;15/03/1990;Ministério;Justiça;PMDB;Paulo Brossard;14/02/1986;19/01/1989;PMDB
Sarney;15/03/1985;15/03/1990;Ministério;Justiça;sfp;Oscar Dias Correia;19/01/1989;09/08/1989;sfp
Sarney;15/03/1985;15/03/1990;Ministério;Justiça;sfp;Saulo Ramos;09/08/1989;14/03/1990;sfp
Sarney;15/03/1985;15/03/1990;Ministério;Exército;sfp;Leônidas Pires Gonçalves;15/03/1985;14/03/1990;sfp
Sarney;15/03/1985;15/03/1990;Ministério;Relações Exteriores;PFL;Olavo Setúbal;15/03/1985;14/02/1986;sfp
Sarney;15/03/1985;15/03/1990;Ministério;Relações Exteriores;PFL;Roberto Costa de Abreu Sodré;14/02/1986;14/03/1990;PFL
Sarney;15/03/1985;15/03/1990;Ministério;Fazenda;sfp;Francisco Dornelles;15/03/1985;26/08/1985;sfp
Sarney;15/03/1985;15/03/1990;Ministério;Fazenda;PMDB;Dilson Domingos Funaro;27/08/1985;29/04/1987;PMDB
Sarney;15/03/1985;15/03/1990;Ministério;Fazenda;PMDB;Luís Carlos Bresser Pereira;29/04/1987;21/12/1987;PMDB
Sarney;15/03/1985;15/03/1990;Ministério;Fazenda;sfp;Maílson da Nóbrega;21/12/1987;14/03/1990;sfp
Sarney;15/03/1985;15/03/1990;Ministério;Transportes;PMDB;Affonso Alves de Camargo Neto;15/03/1985;14/02/1986;PMDB
Sarney;15/03/1985;15/03/1990;Ministério;Transportes;PMDB;José Reinaldo Carneiro Tavares;15/02/1986;14/03/1990;PMDB
Sarney;15/03/1985;15/03/1990;Ministério;Agricultura;PMDB;Pedro Simon;15/03/1985;14/02/1986;PMDB
Sarney;15/03/1985;15/03/1990;Ministério;Agricultura;PMDB;Íris Rezende;14/02/1986;14/03/1990;PMDB
Sarney;15/03/1985;15/03/1990;Ministério;Educação;PFL;Marco Maciel;15/03/1985;14/02/1986;PFL
Sarney;15/03/1985;15/03/1990;Ministério;Educação;PFL;Jorge Konder Bornhausen;14/02/1986;06/10/1987;PFL
Sarney;15/03/1985;15/03/1990;Ministério;Educação;PFL;Hugo Napoleão do Rego Neto;30/10/1987;17/01/1989;PFL
Sarney;15/03/1985;15/03/1990;Ministério;Educação;PMDB;Carlos Corrêa de Menezes Sant'anna ;17/01/1989;14/03/1990;PMDB
Sarney;15/03/1985;15/03/1990;Ministério;Trabalho;PMDB;Almir Pazzianotto;15/03/1985;27/09/1988;PMDB
Sarney;15/03/1985;15/03/1990;Ministério;Trabalho;sfp;Ronaldo Costa Couto (interino);14/10/1988;13/01/1989;sfp
Sarney;15/03/1985;15/03/1990;Ministério;Trabalho;sfp;Dorothea Furquim Werneck;13/01/1989;14/03/1990;sfp
Sarney;15/03/1985;15/03/1990;Ministério;Saúde;PMDB;Carlos Corrêa de Menezes Sant'anna ;15/03/1985;14/02/1986;PMDB
Sarney;15/03/1985;15/03/1990;Ministério;Saúde;PMDB;Roberto Figueira Santos;14/02/1986;22/10/1987;PMDB
