assertion_id,entity,party,asserted_fact,event_date,transition_earliest,transition_latest,source_url,document_id,publisher,publication_date,publication_date_precision,event_date_precision,retrieval_date,locator,supporting_paraphrase,support_type,source_access,conflict,proposed_resolution,coverage_start,observation_cutoff,full_cabinet_composition_complete
AFF-001,George Hilton,PRB|PROS,Party switch,2016-03-18,,,https://exame.com/brasil/hilton-troca-o-prb-pelo-pros-para-nao-perder-ministerio/,,Exame,2016-03-18,day,day,2026-09-10,Article body,Reports Hilton left PRB and joined PROS on that Friday.,direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,,Proposed PRB until March 18 then PROS during remaining actual service; obtain party registration if ceremony/effect discrepancy arises.,2015-01-01,2026-03-19,false
AFF-002,Alexandre Baldy,PP,Joined party,2018-03-14,,,https://www.jornalopcao.com.br/ultimas-noticias/alexandre-baldy-filia-se-ao-pp-ao-lado-de-wilder-e-lideranca-do-partido-119495/,,Jornal Opção,2018-03-14,day,day,2026-09-10,Article body,Reports completed PP affiliation that Wednesday night with party leaders present.,direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,,No party at entry evidence cannot be extended past this completed event.,2015-01-01,2026-03-19,false
AFF-003,Henrique Meirelles,PSD|MDB,Party switch,2018-04-03,,,https://www.poder360.com.br/partidos-politicos/com-jingle-meirelles-se-filia-ao-mdb-e-deve-compor-chapa-ao-planalto/,,Poder360,2018-04-03,day,day,2026-09-10,Article body,Reports Meirelles signed MDB affiliation that day after leaving PSD.,direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,,PSD then PMDB/MDB organizational identity; rename is a separate attribute event.,2015-01-01,2026-03-19,false
AFF-004,Raul Jungmann,PPS,Left party,2018-03-21,,,https://www.agazeta.com.br/es/politica/ministro-jungmann-se-desfilia-do-pps-apos-26-anos-0318,,A Gazeta,2018-03-21,day,day,2026-09-10,Letter reproduced after report of withdrawal,Reproduces his dated letter announcing departure that day after 26 years.,direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,,Terminate PPS affiliation March 21; subsequent unaffiliation is continuity subject to later-change search.,2015-01-01,2026-03-19,false
AFF-005,Alexandre de Moraes,PSDB,Left party,2017-02-07,,,https://www.correiobraziliense.com.br/app/noticia/politica/2017/02/08/interna_politica%2C572009/atuacao-politica-nao-e-motivo-para-discriminacao-diz-alexandre-de-mor.shtml,,Correio Braziliense / Agência Estado,2017-02-08,day,day,2026-09-10,Article body,Report says he left the PSDB the previous day and was a minister on leave.,direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,,End PSDB February 7 even if titular officeholding continues during leave.,2015-01-01,2026-03-19,false
AFF-006,Grace Mendonça,PSDB,Announced intention to leave,2016-09-21,,,https://istoe.com.br/chefe-da-agu-diz-que-vai-se-desfiliar-do-psdb,,IstoÉ / Agência Estado,2016-09-22,day,day,2026-09-10,Article body,Her September 21 statement says she will request immediate withdrawal after learning of old membership.,direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,Appointment audit interpreted a membership certificate but contains no completed withdrawal act.,An intention is not a completed event; seek cancellation or contemporaneous follow-up. Do not freeze PSDB for entire tenure as verified.,2015-01-01,2026-03-19,false
AFF-007,Maurício Quintella Lessa,PR,Observed party label after tenure,2018-07-05,,,https://diariodopoder.com.br/politica/ex-ministro-de-temer-se-afasta-da-camara-para-disputar-senado-na-chapa-de-renan,,Diário do Poder,2018-07-05,day,day,2026-09-10,Article body,Identifies the former minister and deputy as PR-AL.,direct_status_observation_after_service,web_rendered_text_or_extract_reviewed;original_not_archived,,Corroborates prior PR entry evidence; cannot alone back-project PR across tenure.,2015-01-01,2026-03-19,false
AFF-008,Maurício Quintella Lessa,PR,Historical party leadership office,2016-04-27,2016-04-27,2016-05-18,https://www.camara.leg.br/deputados/74050/biografia,,Câmara dos Deputados,,unknown,day,2026-09-10,Lideranças / historical party functions,"Historical functions list PR first vice-leader April 27 to May 18, 2016.",direct_documented_historical_role,web_rendered_text_or_extract_reviewed;original_not_archived,Current Filiações Partidárias display is incomplete and repeats PL for 2007.,"Use dated historical function, not current biography label, as supporting affiliation evidence.",2015-01-01,2026-03-19,false
AFF-009,Helton Yomura,PTB,Dated retrospective affiliation,2014-12,,,https://www.metro1.com.br/noticias/politica/50155%2Cptb-decide-indicar-helton-yomura-para-ministerio-do-trabalho,,Metro1,2018-02-20,day,month,2026-09-10,Article body,Reports PTB affiliation since December 2014 and interim ministry service.,direct_report_of_event,web_rendered_text_or_extract_reviewed;original_not_archived,,PTB persists subject to effective vacancy/acting tenure verification; December 2014 is month precision.,2015-01-01,2026-03-19,false
AFF-010,Augusto Heleno,PRP,Announced withdrawal,2018-07-18,,,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/07/18/general-diz-que-vai-se-desfiliar-de-partido.htm,,UOL,2018-07-18,day,day,2026-09-10,Article body,Prior audit records announced withdrawal from PRP before cabinet entry.,announcement_only,prior_audit_source_not_refetched,,Use together with incoming November no-party observation; announcement alone does not establish completion.,2015-01-01,2026-03-19,false
