office_inventory_id,office_id,government_reporting_scope,office_name,start_inclusive,end_exclusive,status_category,proposed_inclusion,evidence_ids,verification_status,prior_inventory,notes,coverage_start,coverage_end_exclusive,population_completeness
OFFINV-001,office-ad59aaab6eed,dilma_2,Advocacia-Geral da União,2015-01-01,2016-05-12,other_minister_of_state_office,include,OFF-004,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-002,office-71c76d75c4d2,dilma_2,Casa Civil,2015-01-01,2016-05-12,other_minister_of_state_office,include,OFF-004,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-003,office-8504c8891abf,dilma_2,Controladoria-Geral da União,2015-01-01,2016-05-12,other_minister_of_state_office,include,OFF-004,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit. CGU is presidential minister-chief office under pre-May2016 structure, not ordinary ministry.",2015-01-01,2026-03-20,not_certified
OFFINV-004,office-121c12a15312,dilma_2,Gabinete de Segurança Institucional,2015-01-01,2015-10-05,other_minister_of_state_office,include,OFF-005;OFF-006,cargo_status_change_direct_occupancy_dates_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit. October2 raw transition is announcement/signature, MP cargo effectiveOctober5. Structures have separate dates.",2015-01-01,2026-03-20,not_certified
OFFINV-005,office-f129e4c84ca3,dilma_2,"Ministério da Agricultura, Pecuária e Abastecimento",2015-01-01,2016-05-12,ordinary_ministry,include,OFF-004,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-006,office-04835c9d574c,dilma_2,"Ministério da Ciência, Tecnologia e Inovação",2015-01-01,2016-05-12,ordinary_ministry,include,OFF-004,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-007,office-56f843351178,dilma_2,Ministério da Cultura,2015-01-01,2016-05-12,ordinary_ministry,include,OFF-004,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-008,office-a052e9465bd3,dilma_2,Ministério da Defesa,2015-01-01,2016-05-12,ordinary_ministry,include,OFF-004,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-009,office-c4b9396bbbd3,dilma_2,Ministério da Educação,2015-01-01,2016-05-12,ordinary_ministry,include,OFF-004,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-010,office-3a38f7043e4b,dilma_2,Ministério da Fazenda,2015-01-01,2016-05-12,ordinary_ministry,include,OFF-004,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-011,office-90770092b2a1,dilma_2,Ministério da Integração Nacional,2015-01-01,2016-05-12,ordinary_ministry,include,OFF-004,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-012,office-ba1811a45370,dilma_2,Ministério da Justiça,2015-01-01,2016-05-12,ordinary_ministry,include,OFF-004,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-013,office-caf4cbe19b55,dilma_2,Ministério da Pesca e Aquicultura,2015-01-01,2015-10-05,ordinary_ministry,include,OFF-005;OFF-006,cargo_status_change_direct_occupancy_dates_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit. October2 raw transition is announcement/signature, MP cargo effectiveOctober5. Structures have separate dates.",2015-01-01,2026-03-20,not_certified
OFFINV-014,office-586623290740,dilma_2,Ministério da Previdência Social,2015-01-01,2015-10-05,ordinary_ministry,include,OFF-005;OFF-006,cargo_status_change_direct_occupancy_dates_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit. October2 raw transition is announcement/signature, MP cargo effectiveOctober5. Structures have separate dates.",2015-01-01,2026-03-20,not_certified
OFFINV-015,office-7b54eb4b1d0d,dilma_2,Ministério da Saúde,2015-01-01,2016-05-12,ordinary_ministry,include,OFF-004,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-016,office-84b16e9910ef,dilma_2,Ministério das Cidades,2015-01-01,2016-05-12,ordinary_ministry,include,OFF-004,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-017,office-bb705e22ff95,dilma_2,Ministério das Comunicações,2015-01-01,2016-05-12,ordinary_ministry,include,OFF-004,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-018,office-e65cb51f0cda,dilma_2,Ministério das Relações Exteriores,2015-01-01,2016-05-12,ordinary_ministry,include,OFF-004,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-019,office-606cd4357d8f,dilma_2,Ministério de Minas e Energia,2015-01-01,2016-05-12,ordinary_ministry,include,OFF-004,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-020,office-3236534c8fcb,dilma_2,Ministério do Desenvolvimento Agrário,2015-01-01,2016-05-12,ordinary_ministry,include,OFF-004,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-021,office-73f75a1e9040,dilma_2,Ministério do Desenvolvimento Social e Combate à Fome,2015-01-01,2016-05-12,ordinary_ministry,include,OFF-004,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-022,office-e855db961f3c,dilma_2,"Ministério do Desenvolvimento, Indústria e Comércio Exterior",2015-01-01,2016-05-12,ordinary_ministry,include,OFF-004,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-023,office-29ebd5c09220,dilma_2,Ministério do Esporte,2015-01-01,2016-05-12,ordinary_ministry,include,OFF-004,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-024,office-0b0f7699e112,dilma_2,Ministério do Meio Ambiente,2015-01-01,2016-05-12,ordinary_ministry,include,OFF-004,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-025,office-d36a066c6a20,dilma_2,"Ministério do Planejamento, Orçamento e Gestão",2015-01-01,2016-05-12,ordinary_ministry,include,OFF-004,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-026,office-d2224c24789f,dilma_2,Ministério do Trabalho e Emprego,2015-01-01,2015-10-05,ordinary_ministry,include,OFF-005;OFF-006,cargo_status_change_direct_occupancy_dates_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit. October2 raw transition is announcement/signature, MP cargo effectiveOctober5. Structures have separate dates.",2015-01-01,2026-03-20,not_certified
OFFINV-027,office-92648a673b31,dilma_2,Ministério do Turismo,2015-01-01,2016-05-12,ordinary_ministry,include,OFF-004,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-028,office-3b43cc00f8ad,dilma_2,Ministério dos Transportes,2015-01-01,2016-05-12,ordinary_ministry,include,OFF-004,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-029,office-fc35398e0e7e,dilma_2,Presidente do Banco Central do Brasil,2015-01-01,2016-05-12,other_minister_of_state_office,include,OFF-004,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-030,office-fba72858dd8b,dilma_2,Secretaria Nacional dos Portos,2015-01-01,2016-05-12,other_minister_of_state_office,include,OFF-004,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-031,office-f807875709f8,dilma_2,Secretaria da Micro e Pequena Empresa,2015-01-01,2015-10-05,other_minister_of_state_office,include,OFF-005;OFF-006,cargo_status_change_direct_occupancy_dates_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit. October2 raw transition is announcement/signature, MP cargo effectiveOctober5. Structures have separate dates.",2015-01-01,2026-03-20,not_certified
OFFINV-032,office-0712b7560528,dilma_2,Secretaria de Assuntos Estratégicos,2015-01-01,2015-10-05,other_minister_of_state_office,include,OFF-005;OFF-006,cargo_status_change_direct_occupancy_dates_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit. October2 raw transition is announcement/signature, MP cargo effectiveOctober5. Structures have separate dates.",2015-01-01,2026-03-20,not_certified
OFFINV-033,office-fc3409cfe846,dilma_2,Secretaria de Aviação Civil,2015-01-01,2016-05-12,other_minister_of_state_office,include,OFF-004,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-034,office-1d8959f42b33,dilma_2,Secretaria de Comunicação Social,2015-01-01,2016-05-12,other_minister_of_state_office,include,OFF-004,status_candidate_historical_legal_version_check_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit.",2015-01-01,2026-03-20,not_certified
OFFINV-035,office-12710323d4fa,dilma_2,Secretaria de Direitos Humanos,2015-01-01,2015-10-05,other_minister_of_state_office,include,OFF-005;OFF-006,cargo_status_change_direct_occupancy_dates_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit. October2 raw transition is announcement/signature, MP cargo effectiveOctober5. Structures have separate dates.",2015-01-01,2026-03-20,not_certified
OFFINV-036,office-ec1baab4f0a4,dilma_2,Secretaria de Políticas de Promoção da Igualdade Racial,2015-01-01,2015-10-05,other_minister_of_state_office,include,OFF-005;OFF-006,cargo_status_change_direct_occupancy_dates_pending,present,"Candidate legal-scope interval, not a certified occupancy interval. Later amendments and capacity histories need full audit. October2 raw transition is announcement/signature, MP cargo effectiveOctober5. Structures have separate dates.",2015-01-01,2026-03-20,not_certified
