source_record_id,page,table_index,row_index,in_previous_257,cells_json,coverage_start,coverage_end_exclusive,coverage_status
dilma_rousseff:1:1,dilma_rousseff,1,1,True,"[""Advocacia-Geral da União"", """", ""Luís Inácio Adams"", ""—"", ""1º de janeiro de 2015"", ""3 de março de 2016"", ""[ 1 ]""]",2015-01-01,2026-03-20,pinned_source_inventory_only_not_population_certified
dilma_rousseff:1:2,dilma_rousseff,1,2,True,"[""Advocacia-Geral da União"", """", ""José Eduardo Cardozo"", ""PT"", ""3 de março de 2016"", ""12 de maio de 2016 (impeachment de Dilma Rousseff)"", ""[ 34 ]""]",2015-01-01,2026-03-20,pinned_source_inventory_only_not_population_certified
dilma_rousseff:1:3,dilma_rousseff,1,3,True,"[""Ministério da Agricultura, Pecuária e Abastecimento"", """", ""Kátia Abreu"", ""MDB"", ""1º de janeiro de 2015"", ""12 de maio de 2016 (impeachment de Dilma Rousseff)"", ""[ 1 ]""]",2015-01-01,2026-03-20,pinned_source_inventory_only_not_population_certified
dilma_rousseff:1:4,dilma_rousseff,1,4,True,"[""Secretaria de Assuntos Estratégicos"", """", ""Marcelo Neri"", ""—"", ""1º de janeiro de 2015"", ""5 de fevereiro de 2015"", ""[ 1 ]""]",2015-01-01,2026-03-20,pinned_source_inventory_only_not_population_certified
dilma_rousseff:1:5,dilma_rousseff,1,5,True,"[""Secretaria de Assuntos Estratégicos"", """", ""Roberto Mangabeira Unger"", ""—"", ""5 de fevereiro de 2015"", ""14 de setembro de 2015"", ""[ 35 ]""]",2015-01-01,2026-03-20,pinned_source_inventory_only_not_population_certified
dilma_rousseff:1:6,dilma_rousseff,1,6,True,"[""Secretaria de Assuntos Estratégicos"", """", ""Vitor Pinto Chaves"", ""—"", ""14 de setembro de 2015"", ""2 de outubro de 2015 (secretaria extinta)"", ""[ 36 ]""]",2015-01-01,2026-03-20,pinned_source_inventory_only_not_population_certified
dilma_rousseff:1:7,dilma_rousseff,1,7,True,"[""Secretaria de Aviação Civil"", """", ""Eliseu Padilha"", ""MDB"", ""1º de janeiro de 2015"", ""4 de dezembro de 2015 (renunciou ao cargo)"", ""[ 1 ]""]",2015-01-01,2026-03-20,pinned_source_inventory_only_not_population_certified
dilma_rousseff:1:8,dilma_rousseff,1,8,True,"[""Secretaria de Aviação Civil"", """", ""Guilherme Walder Mora Ramalho"", ""—"", ""7 de dezembro de 2015 (interino)"", ""17 de março de 2016"", ""[ 37 ]""]",2015-01-01,2026-03-20,pinned_source_inventory_only_not_population_certified
dilma_rousseff:1:9,dilma_rousseff,1,9,True,"[""Secretaria de Aviação Civil"", """", ""Mauro Lopes"", ""MDB"", ""17 de março de 2016"", ""18 de abril de 2016 (demitido do cargo)"", ""[ 38 ]""]",2015-01-01,2026-03-20,pinned_source_inventory_only_not_population_certified
dilma_rousseff:1:10,dilma_rousseff,1,10,True,"[""Secretaria de Aviação Civil"", """", ""Guilherme Walder Mora Ramalho"", ""—"", ""18 de abril de 2016 (interino)"", ""12 de maio de 2016 (impeachment de Dilma Rousseff)"", ""[ 39 ]""]",2015-01-01,2026-03-20,pinned_source_inventory_only_not_population_certified
dilma_rousseff:1:11,dilma_rousseff,1,11,True,"[""Presidente do Banco Central do Brasil"", """", ""Alexandre Tombini"", ""—"", ""1º de janeiro de 2015"", ""—"", ""[ 1 ]""]",2015-01-01,2026-03-20,pinned_source_inventory_only_not_population_certified
dilma_rousseff:1:12,dilma_rousseff,1,12,True,"[""Casa Civil"", """", ""Aloizio Mercadante"", ""PT"", ""1º de janeiro de 2015"", ""2 de outubro de 2015"", ""[ 1 ]""]",2015-01-01,2026-03-20,pinned_source_inventory_only_not_population_certified
dilma_rousseff:1:13,dilma_rousseff,1,13,True,"[""Casa Civil"", """", ""Jaques Wagner"", ""PT"", ""2 de outubro de 2015"", ""16 de março de 2016"", ""[ 36 ]""]",2015-01-01,2026-03-20,pinned_source_inventory_only_not_population_certified
dilma_rousseff:1:14,dilma_rousseff,1,14,False,"[""Casa Civil"", """", ""Luiz Inácio Lula da Silva"", ""PT"", ""17 de março de 2016"", ""18 de março de 2016 (nomeação suspensa pelo STF)"", ""[ 40 ]""]",2015-01-01,2026-03-20,pinned_source_inventory_only_not_population_certified
dilma_rousseff:1:15,dilma_rousseff,1,15,True,"[""Casa Civil"", """", ""Eva Chiavon"", ""PT"", ""22 de março de 2016 (interina)"", ""12 de maio de 2016 (impeachment de Dilma Rousseff)"", ""[ 41 ]""]",2015-01-01,2026-03-20,pinned_source_inventory_only_not_population_certified
dilma_rousseff:1:16,dilma_rousseff,1,16,True,"[""Ministério da Ciência, Tecnologia e Inovação"", """", ""Aldo Rebelo"", ""PCdoB"", ""1º de janeiro de 2015"", ""2 de outubro de 2015"", ""[ 1 ]""]",2015-01-01,2026-03-20,pinned_source_inventory_only_not_population_certified
dilma_rousseff:1:17,dilma_rousseff,1,17,True,"[""Ministério da Ciência, Tecnologia e Inovação"", """", ""Celso Pansera"", ""MDB"", ""2 de outubro de 2015"", ""14 de abril de 2016 (renunciou ao cargo)"", ""[ 36 ]""]",2015-01-01,2026-03-20,pinned_source_inventory_only_not_population_certified
