assertion_id,entity_type,entity_name,office,source_record_id,asserted_fact,claimed_reference_date,claimed_status,claimed_party,source_urls_raw,document_identifier,publisher,publication_date_raw,source_retrieval_date,audit_import_date,locator,support_kind,source_access_status,temporal_limit,conflict_or_limit
LEG-6acbef0c8e72,person,Luís Inácio Adams,Advocacia-Geral da União,dilma_rousseff:1:1,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,2015-01-01,UNAFFILIATED,,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,,not_normalized_in_prior_ledger,2015-01,,2026-09-10,Prior appointment_evidence.csv row source_record_id=dilma_rousseff:1:1,inherited_prior_audit_claim_not_new_verification,not_individually_retrieved_by_inventory_projection,Appointment-date claim only unless underlying assertion explicitly covers a longer interval; not a certified affiliation spell.,
LEG-7a1f7e7148d0,person,Guilherme Walder Mora Ramalho,Secretaria de Aviação Civil,dilma_rousseff:1:10,Bounded name/party/filiação and contemporary appointment searches did not locate dated formal affiliation or explicit absence evidence. Blank pinned field and technical career are insufficient.,2016-04-18,UNRESOLVED,,,,not_normalized_in_prior_ledger,,,2026-09-10,Prior appointment_evidence.csv row source_record_id=dilma_rousseff:1:10,inherited_prior_audit_claim_not_new_verification,not_individually_retrieved_by_inventory_projection,Appointment-date claim only unless underlying assertion explicitly covers a longer interval; not a certified affiliation spell.,Diagnostic only: unresolved party is not an unaffiliated classification; do not use in production.
LEG-3a3bd99ec9c2,person,Alexandre Tombini,Presidente do Banco Central do Brasil,dilma_rousseff:1:11,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,2015-01-01,UNAFFILIATED,,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,,not_normalized_in_prior_ledger,2015-01,,2026-09-10,Prior appointment_evidence.csv row source_record_id=dilma_rousseff:1:11,inherited_prior_audit_claim_not_new_verification,not_individually_retrieved_by_inventory_projection,Appointment-date claim only unless underlying assertion explicitly covers a longer interval; not a certified affiliation spell.,
LEG-d255b4dea116,person,Aloizio Mercadante,Casa Civil,dilma_rousseff:1:12,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,2015-01-01,PARTY,PT,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,,not_normalized_in_prior_ledger,2015-01,,2026-09-10,Prior appointment_evidence.csv row source_record_id=dilma_rousseff:1:12,inherited_prior_audit_claim_not_new_verification,not_individually_retrieved_by_inventory_projection,Appointment-date claim only unless underlying assertion explicitly covers a longer interval; not a certified affiliation spell.,
LEG-8fea2cf59c34,person,Jaques Wagner,Casa Civil,dilma_rousseff:1:13,Contemporaneous reform roster explicitly identifies party or no affiliation.,2015-10-02,PARTY,PT,https://www.jb.com.br/pais/noticias/2015/10/02/veja-como-ficou-a-composicao-do-novo-ministerio-de-dilma-por-partidos.html,,not_normalized_in_prior_ledger,2015-10-02,,2026-09-10,Prior appointment_evidence.csv row source_record_id=dilma_rousseff:1:13,inherited_prior_audit_claim_not_new_verification,not_individually_retrieved_by_inventory_projection,Appointment-date claim only unless underlying assertion explicitly covers a longer interval; not a certified affiliation spell.,
LEG-f7165c075478,person,Eva Chiavon,Casa Civil,dilma_rousseff:1:15,Appointment-day profile identifies her as PT member.,2016-03-22,PARTY,PT,https://www1.folha.uol.com.br/poder/2016/03/1753047-com-impasse-sobre-lula-dilma-da-bahia-assume-casa-civil.shtml,,not_normalized_in_prior_ledger,2016-03-22,,2026-09-10,Prior appointment_evidence.csv row source_record_id=dilma_rousseff:1:15,inherited_prior_audit_claim_not_new_verification,not_individually_retrieved_by_inventory_projection,Appointment-date claim only unless underlying assertion explicitly covers a longer interval; not a certified affiliation spell.,
LEG-9551d742d972,person,Aldo Rebelo,"Ministério da Ciência, Tecnologia e Inovação",dilma_rousseff:1:16,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,2015-01-01,PARTY,PCdoB,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,,not_normalized_in_prior_ledger,2015-01,,2026-09-10,Prior appointment_evidence.csv row source_record_id=dilma_rousseff:1:16,inherited_prior_audit_claim_not_new_verification,not_individually_retrieved_by_inventory_projection,Appointment-date claim only unless underlying assertion explicitly covers a longer interval; not a certified affiliation spell.,
LEG-c63d31861f21,person,Celso Pansera,"Ministério da Ciência, Tecnologia e Inovação",dilma_rousseff:1:17,Contemporaneous reform roster explicitly identifies party or no affiliation.,2015-10-02,PARTY,PMDB,https://www.jb.com.br/pais/noticias/2015/10/02/veja-como-ficou-a-composicao-do-novo-ministerio-de-dilma-por-partidos.html,,not_normalized_in_prior_ledger,2015-10-02,,2026-09-10,Prior appointment_evidence.csv row source_record_id=dilma_rousseff:1:17,inherited_prior_audit_claim_not_new_verification,not_individually_retrieved_by_inventory_projection,Appointment-date claim only unless underlying assertion explicitly covers a longer interval; not a certified affiliation spell.,
LEG-3adefb71d2bc,person,Emília Maria Silva Ribeiro Curi,"Ministério da Ciência, Tecnologia e Inovação",dilma_rousseff:1:18,Bounded name/party/filiação and contemporary appointment searches did not locate dated formal affiliation or explicit absence evidence. Blank pinned field and technical career are insufficient.,2016-04-14,UNRESOLVED,,,,not_normalized_in_prior_ledger,,,2026-09-10,Prior appointment_evidence.csv row source_record_id=dilma_rousseff:1:18,inherited_prior_audit_claim_not_new_verification,not_individually_retrieved_by_inventory_projection,Appointment-date claim only unless underlying assertion explicitly covers a longer interval; not a certified affiliation spell.,Diagnostic only: unresolved party is not an unaffiliated classification; do not use in production.
LEG-79221ce8a4c6,person,Gilberto Kassab,Ministério das Cidades,dilma_rousseff:1:19,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,2015-01-01,PARTY,PSD,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,,not_normalized_in_prior_ledger,2015-01,,2026-09-10,Prior appointment_evidence.csv row source_record_id=dilma_rousseff:1:19,inherited_prior_audit_claim_not_new_verification,not_individually_retrieved_by_inventory_projection,Appointment-date claim only unless underlying assertion explicitly covers a longer interval; not a certified affiliation spell.,
LEG-6eb6d5643016,person,José Eduardo Cardozo,Advocacia-Geral da União,dilma_rousseff:1:2,Agência Brasil appointment-day biography explicitly states PT affiliation since the 1980s.,2016-03-03,PARTY,PT,https://exame.com/brasil/dilma-da-posse-aos-ministros-da-justica-da-agu-e-da-cgu/,,not_normalized_in_prior_ledger,2016-03-03,,2026-09-10,Prior appointment_evidence.csv row source_record_id=dilma_rousseff:1:2,inherited_prior_audit_claim_not_new_verification,not_individually_retrieved_by_inventory_projection,Appointment-date claim only unless underlying assertion explicitly covers a longer interval; not a certified affiliation spell.,
LEG-c8ef1de4a884,person,Inês da Silva Magalhães,Ministério das Cidades,dilma_rousseff:1:20,"Dated reporting explicitly establishes PT membership before appointment; retrospective ministerial chronology Table32 p171 identifies PT for her2016 tenure, citing Ministry of Regional Development2019.",2016-04-15,PARTY,PT,https://acervojamildo.com/posts/2010/2010-11-24-dilma-estuda-dividir-o-ministerio-das-cidades-em-dois-para-agradar-aliados-12419424/ | https://teses.usp.br/teses/disponiveis/8/8136/tde-27112019-184232/publico/2019_GullitTorresDias_VCorr.pdf,,not_normalized_in_prior_ledger,2010-11-24 / 2019,,2026-09-10,Prior appointment_evidence.csv row source_record_id=dilma_rousseff:1:20,inherited_prior_audit_claim_not_new_verification,not_individually_retrieved_by_inventory_projection,Appointment-date claim only unless underlying assertion explicitly covers a longer interval; not a certified affiliation spell.,Retrospective tenure evidence corroborates pre-appointment membership; no later party label used to back-project a new affiliation.
LEG-645dc7ca47f1,person,Thomas Traumann,Secretaria de Comunicação Social,dilma_rousseff:1:21,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,2015-01-01,UNAFFILIATED,,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,,not_normalized_in_prior_ledger,2015-01,,2026-09-10,Prior appointment_evidence.csv row source_record_id=dilma_rousseff:1:21,inherited_prior_audit_claim_not_new_verification,not_individually_retrieved_by_inventory_projection,Appointment-date claim only unless underlying assertion explicitly covers a longer interval; not a certified affiliation spell.,
LEG-89bba1651520,person,Edinho Silva,Secretaria de Comunicação Social,dilma_rousseff:1:22,PT identified in appointment announcement for March 31.,2015-03-31,PARTY,PT,https://epoca.globo.com/tempo/filtro/noticia/2015/03/edinho-silva-substitui-thomas-traumann-na-comunicacao-social.html,,not_normalized_in_prior_ledger,2015-03-27,,2026-09-10,Prior appointment_evidence.csv row source_record_id=dilma_rousseff:1:22,inherited_prior_audit_claim_not_new_verification,not_individually_retrieved_by_inventory_projection,Appointment-date claim only unless underlying assertion explicitly covers a longer interval; not a certified affiliation spell.,
LEG-a0ba08a78c10,person,Ricardo Berzoini,Ministério das Comunicações,dilma_rousseff:1:23,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,2015-01-01,PARTY,PT,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,,not_normalized_in_prior_ledger,2015-01,,2026-09-10,Prior appointment_evidence.csv row source_record_id=dilma_rousseff:1:23,inherited_prior_audit_claim_not_new_verification,not_individually_retrieved_by_inventory_projection,Appointment-date claim only unless underlying assertion explicitly covers a longer interval; not a certified affiliation spell.,
LEG-86c922df0c71,person,André Figueiredo,Ministério das Comunicações,dilma_rousseff:1:24,Contemporaneous reform roster explicitly identifies party or no affiliation.,2015-10-02,PARTY,PDT,https://www.jb.com.br/pais/noticias/2015/10/02/veja-como-ficou-a-composicao-do-novo-ministerio-de-dilma-por-partidos.html,,not_normalized_in_prior_ledger,2015-10-02,,2026-09-10,Prior appointment_evidence.csv row source_record_id=dilma_rousseff:1:24,inherited_prior_audit_claim_not_new_verification,not_individually_retrieved_by_inventory_projection,Appointment-date claim only unless underlying assertion explicitly covers a longer interval; not a certified affiliation spell.,
LEG-8a829ddf0700,person,Valdir Moysés Simão,Controladoria-Geral da União,dilma_rousseff:1:25,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,2015-01-01,UNAFFILIATED,,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,,not_normalized_in_prior_ledger,2015-01,,2026-09-10,Prior appointment_evidence.csv row source_record_id=dilma_rousseff:1:25,inherited_prior_audit_claim_not_new_verification,not_individually_retrieved_by_inventory_projection,Appointment-date claim only unless underlying assertion explicitly covers a longer interval; not a certified affiliation spell.,
LEG-f1564ca79a01,person,Carlos Higino Ribeiro de Alencar,Controladoria-Geral da União,dilma_rousseff:1:26,"Gomes, Revista da CGU 8(13), Table 3 p464 and historical membership index pp471-472 explicitly report no affiliation for the 2003-2016 period; direct study of official records, LAI and biographical data.",2015-12-21,UNAFFILIATED,,https://repositorio.cgu.gov.br/bitstream/1/34422/10/V8.n13_Importancia.pdf,,not_normalized_in_prior_ledger,2016-12,,2026-09-10,Prior appointment_evidence.csv row source_record_id=dilma_rousseff:1:26,inherited_prior_audit_claim_not_new_verification,not_individually_retrieved_by_inventory_projection,Appointment-date claim only unless underlying assertion explicitly covers a longer interval; not a certified affiliation spell.,
LEG-27767c7555e1,person,Luiz Navarro de Britto,Controladoria-Geral da União,dilma_rousseff:1:27,"Gomes, Revista da CGU 8(13), Table 3 p464 and historical membership index pp471-472 explicitly report no affiliation for the 2003-2016 period; direct study of official records, LAI and biographical data.",2016-02-29,UNAFFILIATED,,https://repositorio.cgu.gov.br/bitstream/1/34422/10/V8.n13_Importancia.pdf,,not_normalized_in_prior_ledger,2016-12,,2026-09-10,Prior appointment_evidence.csv row source_record_id=dilma_rousseff:1:27,inherited_prior_audit_claim_not_new_verification,not_individually_retrieved_by_inventory_projection,Appointment-date claim only unless underlying assertion explicitly covers a longer interval; not a certified affiliation spell.,
LEG-e0ac31b0f981,person,Juca Ferreira,Ministério da Cultura,dilma_rousseff:1:28,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,2015-01-01,PARTY,PT,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,,not_normalized_in_prior_ledger,2015-01,,2026-09-10,Prior appointment_evidence.csv row source_record_id=dilma_rousseff:1:28,inherited_prior_audit_claim_not_new_verification,not_individually_retrieved_by_inventory_projection,Appointment-date claim only unless underlying assertion explicitly covers a longer interval; not a certified affiliation spell.,
LEG-d44eb314acd9,person,Jaques Wagner,Ministério da Defesa,dilma_rousseff:1:29,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,2015-01-01,PARTY,PT,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,,not_normalized_in_prior_ledger,2015-01,,2026-09-10,Prior appointment_evidence.csv row source_record_id=dilma_rousseff:1:29,inherited_prior_audit_claim_not_new_verification,not_individually_retrieved_by_inventory_projection,Appointment-date claim only unless underlying assertion explicitly covers a longer interval; not a certified affiliation spell.,
LEG-bbe559c76692,person,Kátia Abreu,"Ministério da Agricultura, Pecuária e Abastecimento",dilma_rousseff:1:3,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,2015-01-01,PARTY,PMDB,https://www.diap.org.br/index.php/publicacoes?catid=61&id=878&m=0&task=download.send,,not_normalized_in_prior_ledger,2015-01,,2026-09-10,Prior appointment_evidence.csv row source_record_id=dilma_rousseff:1:3,inherited_prior_audit_claim_not_new_verification,not_individually_retrieved_by_inventory_projection,Appointment-date claim only unless underlying assertion explicitly covers a longer interval; not a certified affiliation spell.,
