legacy_assertion_id,source_record_id,government_id,person_raw,office_raw,legacy_start,legacy_end_inclusive,legacy_appointment_date,prior_status,prior_party,prior_assignment,prior_evidence_date_raw,prior_evidence_note,contemporaneous_tenure_certified,officeholding_coverage,affiliation_temporal_coverage,composition_completeness,missing_possibilities,required_work
LEG-6acbef0c8e72,dilma_rousseff:1:1,dilma_2,Luís Inácio Adams,Advocacia-Geral da União,2015-01-01,2016-03-03,2015-01-01,UNAFFILIATED,,,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-7a1f7e7148d0,dilma_rousseff:1:10,dilma_2,Guilherme Walder Mora Ramalho,Secretaria de Aviação Civil,2016-04-18,2016-05-11,2016-04-18,UNRESOLVED,,,,Bounded name/party/filiação and contemporary appointment searches did not locate dated formal affiliation or explicit absence evidence. Blank pinned field and technical career are insufficient.,False,not_certified,unresolved_at_legacy_start,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-3a3bd99ec9c2,dilma_rousseff:1:11,dilma_2,Alexandre Tombini,Presidente do Banco Central do Brasil,2015-01-01,2016-05-11,2015-01-01,UNAFFILIATED,,,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-d255b4dea116,dilma_rousseff:1:12,dilma_2,Aloizio Mercadante,Casa Civil,2015-01-01,2015-10-02,2015-01-01,PARTY,PT,PT,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-8fea2cf59c34,dilma_rousseff:1:13,dilma_2,Jaques Wagner,Casa Civil,2015-10-02,2016-03-16,2015-10-02,PARTY,PT,PT,2015-10-02,Contemporaneous reform roster explicitly identifies party or no affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-f7165c075478,dilma_rousseff:1:15,dilma_2,Eva Chiavon,Casa Civil,2016-03-22,2016-05-11,2016-03-22,PARTY,PT,PT,2016-03-22,Appointment-day profile identifies her as PT member.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-9551d742d972,dilma_rousseff:1:16,dilma_2,Aldo Rebelo,"Ministério da Ciência, Tecnologia e Inovação",2015-01-01,2015-10-02,2015-01-01,PARTY,PCdoB,PCdoB,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-c63d31861f21,dilma_rousseff:1:17,dilma_2,Celso Pansera,"Ministério da Ciência, Tecnologia e Inovação",2015-10-02,2016-04-14,2015-10-02,PARTY,PMDB,MDB,2015-10-02,Contemporaneous reform roster explicitly identifies party or no affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-3adefb71d2bc,dilma_rousseff:1:18,dilma_2,Emília Maria Silva Ribeiro Curi,"Ministério da Ciência, Tecnologia e Inovação",2016-04-14,2016-05-11,2016-04-14,UNRESOLVED,,,,Bounded name/party/filiação and contemporary appointment searches did not locate dated formal affiliation or explicit absence evidence. Blank pinned field and technical career are insufficient.,False,not_certified,unresolved_at_legacy_start,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-79221ce8a4c6,dilma_rousseff:1:19,dilma_2,Gilberto Kassab,Ministério das Cidades,2015-01-01,2016-04-15,2015-01-01,PARTY,PSD,PSD,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-6eb6d5643016,dilma_rousseff:1:2,dilma_2,José Eduardo Cardozo,Advocacia-Geral da União,2016-03-03,2016-05-11,2016-03-03,PARTY,PT,PT,2016-03-03,Agência Brasil appointment-day biography explicitly states PT affiliation since the 1980s.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-c8ef1de4a884,dilma_rousseff:1:20,dilma_2,Inês da Silva Magalhães,Ministério das Cidades,2016-04-15,2016-05-11,2016-04-15,PARTY,PT,,2010-11-24 / 2019,"Dated reporting explicitly establishes PT membership before appointment; retrospective ministerial chronology Table32 p171 identifies PT for her2016 tenure, citing Ministry of Regional Development2019.",False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-645dc7ca47f1,dilma_rousseff:1:21,dilma_2,Thomas Traumann,Secretaria de Comunicação Social,2015-01-01,2015-03-25,2015-01-01,UNAFFILIATED,,PSD,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-89bba1651520,dilma_rousseff:1:22,dilma_2,Edinho Silva,Secretaria de Comunicação Social,2015-03-31,2016-05-11,2015-03-31,PARTY,PT,PT,2015-03-27,PT identified in appointment announcement for March 31.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-a0ba08a78c10,dilma_rousseff:1:23,dilma_2,Ricardo Berzoini,Ministério das Comunicações,2015-01-01,2015-10-02,2015-01-01,PARTY,PT,PT,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-86c922df0c71,dilma_rousseff:1:24,dilma_2,André Figueiredo,Ministério das Comunicações,2015-10-02,2016-05-11,2015-10-02,PARTY,PDT,PDT,2015-10-02,Contemporaneous reform roster explicitly identifies party or no affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-8a829ddf0700,dilma_rousseff:1:25,dilma_2,Valdir Moysés Simão,Controladoria-Geral da União,2015-01-01,2015-12-21,2015-01-01,UNAFFILIATED,,,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-f1564ca79a01,dilma_rousseff:1:26,dilma_2,Carlos Higino Ribeiro de Alencar,Controladoria-Geral da União,2015-12-21,2016-02-29,2015-12-21,UNAFFILIATED,,,2016-12,"Gomes, Revista da CGU 8(13), Table 3 p464 and historical membership index pp471-472 explicitly report no affiliation for the 2003-2016 period; direct study of official records, LAI and biographical data.",False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-27767c7555e1,dilma_rousseff:1:27,dilma_2,Luiz Navarro de Britto,Controladoria-Geral da União,2016-02-29,2016-05-11,2016-02-29,UNAFFILIATED,,,2016-12,"Gomes, Revista da CGU 8(13), Table 3 p464 and historical membership index pp471-472 explicitly report no affiliation for the 2003-2016 period; direct study of official records, LAI and biographical data.",False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-e0ac31b0f981,dilma_rousseff:1:28,dilma_2,Juca Ferreira,Ministério da Cultura,2015-01-01,2016-05-11,2015-01-01,PARTY,PT,PT,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-d44eb314acd9,dilma_rousseff:1:29,dilma_2,Jaques Wagner,Ministério da Defesa,2015-01-01,2015-10-02,2015-01-01,PARTY,PT,PT,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-bbe559c76692,dilma_rousseff:1:3,dilma_2,Kátia Abreu,"Ministério da Agricultura, Pecuária e Abastecimento",2015-01-01,2016-05-11,2015-01-01,PARTY,PMDB,MDB,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-bada6905fc7f,dilma_rousseff:1:30,dilma_2,Aldo Rebelo,Ministério da Defesa,2015-10-02,2016-05-11,2015-10-02,PARTY,PCdoB,PCdoB,2015-10-02,Contemporaneous reform roster explicitly identifies party or no affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-9fb226a0f1d8,dilma_rousseff:1:31,dilma_2,Patrus Ananias,Ministério do Desenvolvimento Agrário,2015-01-01,2016-04-14,2015-01-01,PARTY,PT,PT,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-4e35512833d0,dilma_rousseff:1:32,dilma_2,Maria Fernanda Ramos Coelho,Ministério do Desenvolvimento Agrário,2016-04-14,2016-04-19,2016-04-14,UNRESOLVED,,,2007-10-24 / 2011-03-25,Explicit earlier PT membership is documented; the bounded search did not establish continuity to April2016. Raw blank must not be treated as verified no-party.,False,not_certified,unresolved_at_legacy_start,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-42ef15a41df1,dilma_rousseff:1:33,dilma_2,Patrus Ananias,Ministério do Desenvolvimento Agrário,2016-04-19,2016-05-11,2016-04-19,PARTY,PT,PT,2016-04-19,Chamber historical mandate and leave records identify PT mandate and fresh ministerial leave on April 19.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-ba4b75fca9f5,dilma_rousseff:1:34,dilma_2,Armando Monteiro,"Ministério do Desenvolvimento, Indústria e Comércio Exterior",2015-01-01,2016-05-11,2015-01-01,PARTY,PTB,PTB,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-af4dca441a45,dilma_rousseff:1:35,dilma_2,Tereza Campello,Ministério do Desenvolvimento Social e Combate à Fome,2015-01-01,2016-05-11,2015-01-01,PARTY,PT,PT,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-d13b06a2d6ea,dilma_rousseff:1:36,dilma_2,Ideli Salvatti,Secretaria de Direitos Humanos,2015-01-01,2015-04-16,2015-01-01,PARTY,PT,PT,2015-01,DIAP January 2015 ministerial directory explicitly reports individual party affiliation.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
LEG-b81907f65c5f,dilma_rousseff:1:37,dilma_2,Pepe Vargas,Secretaria de Direitos Humanos,2015-04-16,2015-10-02,2015-04-16,PARTY,PT,PT,2015-04-16,Government appointment biography reports PT membership since 1981.,False,not_certified,needs_in_tenure_review,not_determined_from_this_record,unspecified_until_evidence_review,Validate legal office/service interval; inspect cited status scope; search in-tenure changes and contradictions; merge person aliases across appointments.
