file,sha256,all_blocks,target_blocks,new_target_blocks
cabinet_dataset/research/completion/web_055.txt,ffb3dc8cfd37033a6af262cd064d92ba2fb1789f913002f9adb03fdc4ccf10b1,22,1,1
cabinet_dataset/research/completion/web_056.txt,2b81ddcb30dd541c155769452bcadc6a80eae33399fc180a1760ec4de0155f04,21,1,1
cabinet_dataset/research/completion/web_057.txt,fb1fa382e39f813c2ddb8a806ce72ae92426654628040d82f51a5a1aaa881420,13,2,2
cabinet_dataset/research/completion/web_059.txt,6f32923d013e22ae20c42cbfe0b124a9f8a86749318ed1367911e0de24605927,23,6,6
cabinet_dataset/research/completion/web_067.txt,d3be454e9e968812cf0814a51390798cde9f31d806a142b81b2abbc89e189fda,20,1,1
cabinet_dataset/research/completion/web_072.txt,3a0a87f5fc8a88d848dffbb22ee0c6e839d107bd50df24999e73e1318709a999,11,6,6
cabinet_dataset/research/completion/web_075.txt,0f35e64edf7b69e968e3ee41106d92b2dedc3bc67b5f7a686ccfadda518d14a0,21,14,14
cabinet_dataset/research/completion/web_076.txt,f9bbebb946e05a44cbd5a1b8370aed1d28a5af5c31122099ddb5ae38eb13f39f,14,8,8
cabinet_dataset/research/completion/web_082.txt,71772d626eeecbb0c1e09f1b806ef2fc96d6e0a92b3d96dac9f5e0b5764dba83,23,4,4
cabinet_dataset/research/completion/web_083.txt,8843c2c865c0381280f9eec3cbc670fdb24b56f82d2fb758619a2291b3fd8ea1,18,6,6
cabinet_dataset/research/completion/web_089.txt,f705a3b44b411c1ef3eaa0bfd42cb380988d5df9d2e4ed36c49df1d2ca0baa6e,18,7,7
cabinet_dataset/research/completion/web_091.txt,6d577f87acc6e6d437dbe63637f604f81c2d0f3dab38d3a6c043874294bf6ff1,20,7,7
cabinet_dataset/research/completion/web_094.txt,33cc47551ea8aa9333237f0a8f9bd9fa7081d93f5dbaf84566292117978529b5,15,9,9
cabinet_dataset/research/completion/web_097.txt,d285dd03131ba10477d369d63fbb0dcc60545fcd8a455db02c8dfb99301162d8,19,6,6
cabinet_dataset/research/completion/web_117.txt,24e140e497c2bf46da36482445e50cbc035a1b9a3764707da632dfb95fba69a3,16,12,12
cabinet_dataset/research/completion/web_194.txt,f2b0af15d47a9b96d710c662470cb3b58e958c848770541119b7b2063e11aeeb,12,12,12
cabinet_dataset/research/completion/web_198.txt,c7ba3121f035a290c1ab394ccaefc44b1a2cde3cb055382340ff36397a40db11,14,14,14
cabinet_dataset/research/completion/web_219.txt,d52a838887baeb668f04e42a96b86c546c02ca8ec389f19cb044be47ac1b2f12,18,18,18
cabinet_dataset/research/completion/web_243.txt,bc18460f32ffab6372d6e630e7fb7fe86b53aec23feedace7e491dc8f8782a68,20,4,4
cabinet_dataset/research/completion/web_244.txt,2796d4208eef51af1ac509058563c7669dd43221dc1de6d609871676a91dd65c,21,16,16
cabinet_dataset/research/completion/web_246.txt,6f566cda6a60099fe70749588007f89f328399a6d624ce1fe21f4077d1bb3ce7,7,7,7
cabinet_dataset/research/completion/web_248.txt,a0de2c05115c6827c176e2de67eef874f504a3a66577594aa4ab8c4341e61c17,21,13,13
cabinet_dataset/research/completion/web_267.txt,4e2d1cbc5246214b6e2c467908f7278a3519726bd5fa58f4caabb645c099c53a,11,11,11
cabinet_dataset/research/completion/web_271.txt,d90380eedd95eb52715d376cf7d14df10d20b7817286861ac4f2a363f38409b4,16,16,16
cabinet_dataset/research/completion/web_293.txt,7f4f93d423add3b7d45c05fc6f7f2e2aebf65d58b422e50a707e1f99b9062154,18,18,18
cabinet_dataset/research/completion/web_307.txt,cb7d5f2565faf2e53755c0afebc39c17a1b33c1780fb63c6df38da31bc2ed951,21,7,7
cabinet_dataset/research/completion/web_308.txt,58e6e607f415f4a6f0c4706f31f6551492ec218850fb718da38c37bb2537408d,20,11,11
cabinet_dataset/research/completion/web_309.txt,4f896097565cb46dfe0f7d6c6b07427da3db701ff234b2691c03fe3fa0547371,15,1,1
cabinet_dataset/research/completion/web_310.txt,cad4fb1f68eb107dd8d7e5b1c81b3798a443b5d78d75eb92c8e4da71baec5d37,18,4,4
cabinet_dataset/research/completion/web_311.txt,9a5fa3526e8883acd1e7f6ec350e95a4a637d55d8e90af957303d7556f41745b,18,0,0
cabinet_dataset/research/completion/web_312.txt,abdf345a7789baef5c9c5b60987e53272c4bff69fb12ae8b949a9fe5e773669e,5,5,5
cabinet_dataset/research/completion/web_313.txt,cf6fddfbe7036a6968b0118f41d2b3e9f5c8773708eec65a1fa8eb1dd8a929e9,19,11,11
cabinet_dataset/research/completion/web_314.txt,6d6c692fd1b1b5c710033de57b3a4f24e86ae26a322e294660fcd16311968a46,18,0,0
cabinet_dataset/research/completion/web_315.txt,610644666d9430d33b55a8a0f34338a8e869613568a3c1b5367c42332df68c40,10,10,10
cabinet_dataset/research/completion/web_316.txt,b64b7646057f404f333557486173fa241bcff93f1255cbd70c65fa7a703deed2,14,6,6
cabinet_dataset/research/followup_bolsonaro_affiliations/HISTORICAL_SNAPSHOT_FINDINGS.md,9ceb98e52419650f6dfc908b2496026aef6101b99e9dc2dd4bee78b6d08afe3e,1,1,1
cabinet_dataset/research/followup_ivani/ivani_web_01.txt,3f8b9e1e9b1e325f5363d138867e60bd21377c7e986ded5c86d083794539bd85,21,20,20
cabinet_dataset/research/followup_ivani/ivani_web_04.txt,aecc8da743c753e4b625d2612a03daa8d3f1969408d26066f01e22001ef4dc89,18,17,17
cabinet_dataset/research/followup_ivani/ivani_web_11.txt,79484eb0782ec495298619298bd7b3a7abbff17baf6c06c8883b3790c3ac7a8d,24,0,0
cabinet_dataset/research/followup_ivani/ivani_web_12.txt,1277b2b2ef4bafe5d993095be6348593b38f774cba95c5011f600e4e8358412d,26,5,5
cabinet_dataset/research/followup_ivani/ivani_web_14.txt,10a5a1303c0c356ceb6c8514b53a584ecb70693b7a556f3be89ccc906c0408fe,1,0,0
cabinet_dataset/research/followup_ivani/ivani_web_15.txt,0f3324ff69c372edd340ccb7d8ab44d9650b7bf71f0e8fd48431c24af3192eb6,3,0,0
cabinet_dataset/research/followup_ivani/ivani_web_16.txt,aacce6ac8642e4bb53b21f0c680ccb84c7c793ccc831e6043ffb8a3a7ef2bf20,1,0,0
cabinet_dataset/research/followup_ivani/ivani_web_17.txt,bbd51c51e5778e374e41db8214d2f80a23aaaf6e650b7124704dac77d2836914,17,15,15
cabinet_dataset/research/followup_ivani/ivani_web_18.txt,f5975cb47a2922e89b656470aa799bb321086d0acdb211a46b172ae5c8c2e7c3,1,0,0
cabinet_dataset/research/followup_ivani/ivani_web_19.txt,f90270748ae73c4090d85ce09547b1066242bdf0d820fa15aac66239dbf04245,1,0,0
cabinet_dataset/research/followup_ivani/ivani_web_20.txt,e9bb701b1bfa7abdb5a886d3e8b030ba1d43697403d11db6d304cbc077f319ee,19,9,9
cabinet_dataset/research/followup_ivani/ivani_web_21.txt,86c9e0270af807e7a61eeead8dafc8469a57b71f234a9a0a0e61575e4f3b2fe0,18,14,14
cabinet_dataset/research/followup_ivani/ivani_web_22.txt,63b2ada70abb9a18d9f9e990c55f8d90e53289fc61ba38205d415fd06733243d,4,0,0
cabinet_dataset/research/followup_ivani/ivani_web_23.txt,7d8cfedc4ec8070970c507dfac4a18446caa888b9445c51f487782e732964484,16,16,16
cabinet_dataset/research/followup_ivani/news_1.txt,1510a41c34ca7cb4b956f6f39a48482ce621c7d067a751f26aef584022ab7e90,1,1,1
